lender_table,name,product_name,application_url,lender_row_url,eligible_states,bureaus_pulled,business_bureau_pulled,double_pull,multiple_llc_allowed,stated_requirements,docs_requested,application_method,approval_speed,typical_approval_range,average_starting_loc,max_known_loc,apr_terms,repayment_terms,draw_period_renewal,relationship_required,deposit_balance_impact,known_friendly_states,insider_tips,priority_tier,notes,active,branch_location_info,prequal_soft_pull,intro_offers,requires_account_opening,minimum_deposit,underwriter_interaction,relationship_manager,documentation_required,minimum_time_in_business_years,minimum_revenue_threshold,collateral_required,renewal_terms,loan_type,apr_range_pct,repayment_terms_months,funding_speed,loc_type,external_row_id
OnlineBizCC,BankNewport,,,https://app.notion.com/p/legacystrong/Rhode-Island-253c3aa761d28021b37edb902905ebfb,RI,,,,,Likely Elan-issued. No biz checking required. Same VPN rules apply.,,,,,,,,,,,,,Likely Elan-issued. No biz checking required. Same VPN rules apply.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-BANKNEWPORT
InBranchBizCC,BankPlus,,https://www.bankplus.net/business/bank/products/checking,https://app.notion.com/p/legacystrong/Mississippi-253c3aa761d280b7aafdcd60f363a740,MS,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANKPLUS
InBranchBizCC,BankWest,,,https://app.notion.com/p/legacystrong/South-Dakota-253c3aa761d2801c8999ff2977db8c79,SD,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANKWEST
InBranchBizCC,Banner Bank,,,https://app.notion.com/p/legacystrong/Oregon-253c3aa761d2804f814bd966509c8a78,"OR, WA",,,,,,,,,,,,,,,,,,Inquire in-branch for credit card or small business lines.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANNER-BANK
InBranchBizCC,BBVA,,,https://app.notion.com/p/legacystrong/Colorado-253c3aa761d28070b6f5f734098892e5,"CO, TX",,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BBVA
InBranchBizCC,Berkshire Bank,,https://creditcardlearnmore.com/11t3/index,https://app.notion.com/p/legacystrong/Connecticut-253c3aa761d2801fbf66c6a5f585f1fa,"CT, DE, MA, ME, NY",,,,,,,,,,,,,,,,,,Offers both Elan-backed credit and their own proprietary lines.; Good for small business lines under $25K.; Local relationships are everything here.; Midland,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BERKSHIRE-BANK
OnlineBizCC,Berkshire Bank,,,https://app.notion.com/p/legacystrong/Vermont-253c3aa761d280bd88b2d1ca550f80f6,VT,,,,,No business checking required.,,,,,,,,,,,,,"Midland; No business checking required.; Use the business card page and select the 0% for 20-month card.; Report $200k+ in account/investment balance to target $25k+ limits (unverified).; No VPN! Apply from your business/home IP.; Once approved at one bank, apply to a second with consistent info.",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-BERKSHIRE-BANK
OnlineBizCC,BMO Harris,,https://www.bmoharris.com/main/business-banking/credit-cards/,https://app.notion.com/p/legacystrong/Florida-253c3aa761d280d7aae1c62c34560395,"FL, IL, IN, MN, NY, WI",,,,,Business checking account preferred; Business checking recommended; Business checking account recommended.; Strong profile and liquidity help with higher limits.; Business checking highly recommended; Business checking account recommended,,,,,,,,,,,,,Business checking account preferred; Known for lower documentation requirements and friendly limits; Business checking recommended; Business checking account recommended.; Strong profile and liquidity help with higher limits.; Business checking highly recommended; Business checking account recommended,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-BMO-HARRIS
InBranchBizCC,BOK Financial,,,https://app.notion.com/p/legacystrong/Alabama-253c3aa761d2803190efc372a47f3174,"AL, AR, CO, NM",,,,,"First Citizens Bank – 0% for 9 months, must apply in branch. Open checking account 30 days prior when possible. Optional BLOC if $5k–$25k is deposited.; First Citizens Bank – Apply in branch only. 0% for 9 months. Open checking, sometimes 30-day seasoning required. Also eligible for BLOC $5k–$25k if funds deposited.",,,,,,,,,,,,,"Midland; First Citizens Bank – 0% for 9 months, must apply in branch. Open checking account 30 days prior when possible. Optional BLOC if $5k–$25k is deposited.; First Citizens Bank – Apply in branch only. 0% for 9 months. Open checking, sometimes 30-day seasoning required. Also eligible for BLOC $5k–$25k if funds deposited.",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BOK-FINANCIAL
InBranchBizCC,Bremer Bank,,https://www.bremer.com/business/credit-cards,https://app.notion.com/p/legacystrong/Minnesota-253c3aa761d28008a1eef7740ad6e848,"MN, ND",,,,,,,,,,,,,,,,,,Regional bank option with commercial cards tailored for small businesses,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BREMER-BANK
